date,amount,balance
1/8/2019,-115.5,329.1834
1/7/2019,-12.6,213.6834
1/4/2019,-11.4618,201.0834
1/5/2019,-1.7178,189.6216
1/5/2019,-28.2702,187.9038
1/5/2019,-16.1112,159.6336
1/6/2019,-6.1278,143.5224
1/4/2019,-2.3058,137.3946
1/3/2019,-1.092,135.0888
1/3/2019,-4.62,133.9968
1/2/2019,-16.6068,129.3768
12/31/2018,-4.5738,112.77
1/1/2019,2535.6072,108.1962
1/1/2019,31.3698,2643.8034
12/31/2018,-12.6,2675.1732
12/31/2018,-17.2704,2662.5732
12/31/2018,-12.6546,2645.3028
12/30/2018,-5.6784,2632.6482
1/1/2019,-10.983,2626.9698
1/1/2019,-10.983,2615.9868
12/31/2018,-1.47,2605.0038
12/29/2018,-5.0358,2603.5338
12/29/2018,-1.7178,2598.498
12/30/2018,-6.7116,2596.7802
12/29/2018,-2.6376,2590.0686
12/29/2018,-5.544,2587.431
12/28/2018,-8.967,2581.887
12/29/2018,-21.756,2572.92
12/31/2018,-15.5568,2551.164
12/28/2018,-16.0314,2535.6072
12/28/2018,-1.8228,2519.5758
12/28/2018,-11.3568,2517.753
12/28/2018,-43.3608,2506.3962
12/27/2018,-6.5646,2463.0354
12/28/2018,-5.1534,2456.4708
12/28/2018,-3.2424,2451.3174
12/28/2018,-81.06,2448.075
12/27/2018,-92.3202,2367.015
12/27/2018,-15.708,2274.6948
12/26/2018,-6.3252,2258.9868
12/26/2018,-3.4566,2252.6616
12/26/2018,-2.73,2249.205
12/27/2018,-11.7012,2246.475
12/27/2018,-19.5048,2234.7738
12/26/2018,-1.7094,2215.269
12/26/2018,-56.637,2213.5596
12/25/2018,-21.7182,2156.9226
12/26/2018,-3.5406,2135.2044
12/26/2018,-1.7682,2131.6638
12/25/2018,-5.754,2129.8956
12/26/2018,-0.6972,2124.1416
12/25/2018,-50.5386,2123.4444
12/26/2018,-73.71,2072.9058
12/25/2018,-1.827,1999.1958
12/24/2018,-151.5402,1997.3688
12/24/2018,-85.9782,1845.8286
12/25/2018,-24.0282,1759.8504
12/25/2018,-19.3452,1735.8222
12/25/2018,-37.7874,1716.477
12/24/2018,-59.4594,1678.6896
12/24/2018,-34.86,1619.2302
12/24/2018,-47.7498,1584.3702
12/24/2018,-36.96,1536.6204
12/24/2018,-1.7178,1499.6604
12/24/2018,-15.4098,1497.9426
12/24/2018,-6.93,1482.5328
12/24/2018,-28.56,1475.6028
12/24/2018,-16.6278,1447.0428
12/24/2018,-12.4362,1430.415
12/23/2018,-6.9258,1417.9788
12/23/2018,-6.93,1411.053
12/23/2018,-3.2928,1404.123
12/23/2018,-27.9006,1400.8302
12/23/2018,-2.3058,1372.9296
12/23/2018,-2.268,1370.6238
12/23/2018,-7.9758,1368.3558
12/21/2018,-42,1360.38
12/21/2018,-12.18,1318.38
12/20/2018,-15.12,1306.2
12/21/2018,-1.785,1291.08
12/21/2018,-25.2882,1289.295
12/21/2018,-4.284,1264.0068
12/21/2018,-1.428,1259.7228
12/20/2018,-33.6966,1258.2948
12/20/2018,-6.3,1224.5982
12/19/2018,-30.0426,1218.2982
12/20/2018,-4.1748,1188.2556
12/19/2018,105,1184.0808
12/18/2018,-38.8332,1289.0808
12/19/2018,-490.14,1250.2476
12/20/2018,-4.2756,760.1076
12/18/2018,-3.0996,755.832
12/18/2018,-40.0764,752.7324
